words,sentence #,tag
CPT,0,Incoterms
LAHORE,0,Incoterms
AIRPORT,0,Incoterms
PAKISTAN,0,Incoterms
QTY,0,O
1,0,Quantity
PC,0,Quantity
OF,0,O
MULTI,0,GoodsDescription
MODE,0,GoodsDescription
READER/TRINOCULAR,0,GoodsDescription
MICROSCOPE,0,GoodsDescription
SYSTEM,0,GoodsDescription
MODEL,0,O
SERVICES,1,GoodsDescription
AND,1,GoodsDescription
MAINTENANCE,1,GoodsDescription
AS,1,O
PER,1,O
BENEFICIARY'S,1,O
PROFORMA,1,O
INVOICE,1,O
NO.,1,O
201912Q016H,1,O
DATED,1,O
05.12.2019,1,O
SERVICES,2,O
MAINTENANCE,2,O
AS,2,O
PER,2,O
BENEFICIARY'S,2,O
PROFORMA,2,O
INVOICE,2,O
NO.,2,O
20193264,2,O
DATED,2,O
03.12.2019,2,O
CPT,3,Incoterms
LAHORE,3,Incoterms
AIRPORT,3,Incoterms
PAKISTAN,3,Incoterms
PHARMACEUTICAL,3,GoodsDescription
ALLOPATHIC,3,GoodsDescription
RAW,3,GoodsDescription
MATERIAL,3,GoodsDescription
OF,3,O
PHARMACEUTICAL,3,GoodsDescription
GRADE,3,O
QTY,3,O
100,3,Quantity
KGS,3,Quantity
TRAMADOL,3,GoodsDescription
HCL,3,O
BP/EP,3,O
AT,3,GoodsDescription
USD,3,UnitPriceAmount
45,3,UnitPriceAmount
PER,3,UnitPriceAmount
KG.,3,O
AS,3,O
PER,3,UnitPriceAmount
BENEFICIARY'S,3,O
PROFORMA,3,O
INVOICE,3,O
NO.,3,O
SLS235/2019,3,O
DATED,3,O
22-11-2019,3,O
CFR,4,Incoterms
KEAMARI,4,Incoterms
KARACHI,4,Incoterms
SEAPORT/PORT,4,Incoterms
QASIM,4,Incoterms
PAKISTAN,4,Incoterms
QTY,4,O
24.750,4,Quantity
MTS,4,Quantity
OF,4,O
HIPXX,4,GoodsDescription
E,4,UnitPriceAmount
30,4,GoodsDescription
IN,4,O
25,4,O
KG,4,O
BAG,4,O
AT,4,O
USD,4,UnitPriceAmount
1365.00,4,UnitPriceAmount
PER,4,UnitPriceAmount
MT,4,UnitPriceAmount
COMPLETE,4,O
DETAIL,4,O
AS,4,Incoterms
PER,4,UnitPriceAmount
BENEFICIARY'S,4,O
CONTRACT,4,O
NO.,4,O
2019079,4,O
DATED,4,O
07-09-2019.,4,O
CFR,5,Incoterms
KARACHI,5,Incoterms
SEAPORT,5,Incoterms
PAKISTAN,5,Incoterms
DISCOFIX,5,GoodsDescription
/,5,GoodsDescription
DOSIFIX,5,GoodsDescription
AS,5,O
PER,5,O
BENEFICIARY'S,5,O
PROFORMA,5,O
INVOICE,5,O
NO.,5,O
1807391726,5,O
DATED,5,O
31.10.2019,5,O
FOB,6,Incoterms
FOSHAN,6,Incoterms
PORT,6,Incoterms
CHINA,6,Incoterms
QTY,6,O
1400,6,Quantity
SQM,6,Quantity
LATEX,6,GoodsDescription
FOAM,6,GoodsDescription
AT,6,GoodsDescription
USD,6,Quantity
7.00,6,Quantity
PER,6,Quantity
SQM,6,Quantity
AS,6,O
PER,6,Quantity
BENEFICIARY'S,6,O
