words,sentence #,tag
BRIDGESTONE,0,O
BRAND,0,O
TIRE(S),0,GoodsDescription
AND,0,GoodsDescription
O-RING(S),0,GoodsDescription
AS,0,O
PER,0,O
SALES,0,O
CONTRACT,0,O
NO8ACA021X,0,O
AS,0,O
PER,0,O
SALES,0,O
CONTRACT,0,O
DATED,0,O
22,0,O
DECEMBER,0,O
2017,0,O
NO8ACA021X,0,O
CIF,0,Incoterms
XINGANG,0,Incoterms
CHINA,0,Incoterms
INCOTERMS-201,0,O
BRIDGESTONE,1,O
BRAND,1,O
TIRE(S),1,GoodsDescription
AND,1,GoodsDescription
O-RING(S),1,GoodsDescription
AS,1,O
PER,1,O
SALES,1,O
CONTRACT,1,O
NO8ACA021X,1,O
DATED,1,O
22,1,O
DECEMBER,1,O
2017,1,O
CIF,1,Incoterms
XINGANG,1,Incoterms
CHINA,1,Incoterms
INCOTERMS-201,1,O
BRIDGESTONE,2,O
BRAND,2,O
TIRE(S),2,GoodsDescription
AND,2,GoodsDescription
O-RING(S).,2,O
AS,2,O
PER,2,O
SALES,2,O
CONTRACT,2,O
NO8ACA021X,2,O
DATED,2,O
22,2,O
DECEMBER,2,O
2017,2,O
CIF,2,Incoterms
XINGANG,2,Incoterms
CHINA,2,Incoterms
INCOTERMS-201,2,O
LEATHER,3,GoodsDescription
MEN,3,GoodsDescription
S,3,GoodsDescription
AND/OR,3,GoodsDescription
LEATHER,3,GoodsDescription
LADIES,3,GoodsDescription
GARMENTS,3,GoodsDescription
UNDER,3,O
SUPPLY,3,O
CONTRACT,3,O
NO126223/2009,3,O
DO04,3,O
JUNE,3,O
200O,3,O
FCA,3,Incoterms
KARACHI,3,Incoterms
PAKISTAN,3,Incoterms
AND/OR,3,GoodsDescription
FOB,3,Incoterms
KARACHI,3,Incoterms
PAKISTAN,3,Incoterms
INCOTERMS,3,O
201,3,O
LEATHER,4,GoodsDescription
MEN,4,GoodsDescription
S,4,Incoterms
AND/OR,4,GoodsDescription
LEATHER,4,GoodsDescription
LADIES,4,GoodsDescription
GARMENTS,4,GoodsDescription
UNDER,4,O
SUPPLY,4,O
CONTRACT,4,O
NO126223/2009,4,O
DO04,4,O
JUNE,4,O
