words,sentence #,tag
FOB,0,O
MULTI,0,O
CODES,0,O
DENIM,0,O
FABRIC,0,O
AS,0,O
PER,0,O
PROFORMA,0,O
INVOICE,0,O
NO.,0,O
HTX0300/2018,0,O
DATED,0,O
01.12.18,0,O
CPT,1,O
LAHORE,1,O
AIRPORT,1,O
PAKISTAN,1,O
PHARMACEUTICAL,1,O
ALLOPATHIC,1,O
RAW,1,O
MATERIAL,1,O
OF,1,O
PHARMACEUTICAL,1,O
GRADE,1,O
QTY,1,O
100,1,B-NW
KGS,1,I-NW
TRAMADOL,1,O
HCL,1,O
BP/EP,1,O
AT,1,O
USD,1,O
45,1,O
PER,1,O
KG.,1,O
AS,1,O
PER,1,O
BENEFICIARY'S,1,O
PROFORMA,1,O
INVOICE,1,O
NO.,1,O
SLS235/2019,1,O
DATED,1,O
22112019,1,O
CFR,2,O
KEAMARI,2,O
KARACHI,2,O
SEAPORT/PORT,2,O
QASIM,2,O
PAKISTAN,2,O
QTY,2,O
24.75,2,O
MTS,2,O
OF,2,O
HIPXX,2,O
E,2,O
30,2,O
IN,2,O
25,2,O
KG,2,O
BAG,2,O
AT,2,O
USD,2,O
1365,2,O
PER,2,O
MT,2,O
COMPLETE,2,O
DETAIL,2,O
AS,2,O
PER,2,O
BENEFICIARY'S,2,O
CONTRACT,2,O
NO.,2,O
2019079,2,O
DATED,2,O
7092019,2,O
CFR,3,O
ANY,3,O
PORT,3,O
OF,3,O
KARACHI,3,O
HARDWARE,3,O
FITTINGS,3,O
ACCESSORIES,3,O
AND,3,O
DUMPING,3,O
SYSTEM,3,O
FOR,3,O
CV,3,O
CONDUCTOR,3,O
AND,3,O
FOR,3,O
AL,3,O
CONDUCTOR,3,O
AS,3,O
PER,3,O
BENEFICIARY'S,3,O
PROFORMA,3,O
INVOICE,3,O
NO.,3,O
19,3,O
DATED,3,O
27.06.19,3,O
CPT,4,O
LAHORE,4,O
AIRPORT,4,O
PAKISTAN,4,O
1,4,O
QTY,4,O
1,4,O
PC,4,O
SPINNER,4,O
ASSY,4,O
WS650MZ,4,O
SPIN,4,O
PROCESSOR,4,O
AT,4,O
THE,4,O
RATE,4,O
USD,4,O
9640,4,O
PER,4,O
PC,4,O
ALL,4,O
DETAIL,4,O
AS,4,O
PER,4,O
BENEFICIARY'S,4,O
PROFORMA,4,O
INVOICE,4,O
NO.,4,O
19601,4,O
DATED,4,O
4092019,4,O
CPT,5,O
LAHORE,5,O
AIRPORT,5,O
PAKISTAN,5,O
QTY,5,O
1,5,O
SET,5,O
OF,5,O
USTER,5,O
JOSSI,5,O
VISION,5,O
SHIELD2,5,O
WITH,5,O
6,5,O
SPECTROSCOPES,5,O
EFFICIENCY,5,O
BOOSTER,5,O
V,5,O
TECT,5,O
FOR,5,O
INSTALLATION,5,O
OF,5,O
EXISTING,5,O
BLOWROOM,5,O
LINE,5,O
FOR,5,O
DETECTION,5,O
AND,5,O
ELIMINATION,5,O
OF,5,O
CONTAMINATION,5,O
IN,5,O
BLOWROOM,5,O
LINE,5,O
WITH,5,O
ALL,5,O
STANDARD,5,O
ACCESSORIES,5,O
AND,5,O
ESSENTIAL,5,O
PARTS,5,O
ALL,5,O
DETAIL,5,O
AS,5,O
PER,5,O
INDENT,5,O
NO,5,O
.CZAGVS047,5,O
DATED,5,O
04-Oct-19,5,O
OF,5,O
SIMAG,5,O
ENTERPRISES,5,O
PVT,5,O
LTD,5,O
PAKISTAN,5,O
CPT,6,O
LAHORE,6,O
AIRPORT,6,O
PAKISTAN,6,O
QTY,6,O
1,6,B-NW
UNIT,6,I-NW
OF,6,O
ELECTROSPINNING,6,O
MACHINE,6,O
AT,6,O
THE,6,O
RATE,6,O
USD,6,O
26500.28.,6,O
ALL,6,O
DETAIL,6,O
AS,6,O
PER,6,O
BENEFICIARY'S,6,O
PROFORMA,6,O
INVOICE,6,O
NO.,6,O
PF190006,6,O
DATED,6,O
4092019,6,O
CFR,7,O
KEAMARI,7,O
KARACHI,7,O
SEAPORT,7,O
/,7,O
PORT,7,O
QASIM,7,O
PAKISTAN,7,O
COMPOUNDED,7,O
POLYPROPYLENE,7,O
RESIN,7,O
1QTY,7,O
12000,7,B-NW
KGS,7,I-NW
PPSN3,7,O
J3057HPT,7,O
5PK,7,O
AT,7,O
USD,7,O
2.57,7,O
PER,7,O
KG.,7,O
2QTY,7,O
600,7,B-NW
KGS,7,I-NW
POLYAMIDE,7,O
66,7,O
(NYLON,7,O
66),7,O
T330210,7,O
STD,7,O
BLK,7,O
AT,7,O
USD,7,O
7.24,7,O
PER,7,O
KG,7,O
3QTY,7,O
600,7,B-NW
KGS,7,I-NW
POM,7,O
25,7,O
PCT,7,O
REINFORCED,7,O
GC25A,7,O
CF3500,7,O
NATURAL,7,O
AT,7,O
USD,7,O
5.98,7,O
PER,7,O
KG.,7,O
AS,7,O
PER,7,O
BENEFICIARY'S,7,O
PROFORMA,7,O
INVOICE,7,O
NO.,7,O
NTL11001,7,O
DATED,7,O
4112019,7,O
FOB,8,O
SHANGHAI,8,O
SEAPORT,8,O
CHINA,8,O
TOTAL,8,O
QTY,8,O
6523,8,B-NW
HIGH,8,O
RACKS,8,O
MINI,8,O
RACKS,8,O
SELFSERVICE,8,O
RACKS,8,O
AND,8,O
ACCESSORIES,8,O
AS,8,O
PER,8,O
BENEFICIARY'S,8,O
PROFORMA,8,O
INVOICE,8,O
NO.,8,O
SH1911011,8,O
DATED,8,O
31102019,8,O
CFR,9,O
KARACHI,9,O
SEAPORT,9,O
PAKISTAN,9,O
QTY,9,O
150,9,B-NW
MTS,9,I-NW
PRIMARY,9,O
ALUMINIUM,9,O
STANDARD,9,O
INGOT,9,O
AT,9,O
USD,9,O
1750,9,O
AS,9,O
PER,9,O
SALES,9,O
CONTRACT,9,O
NO.,9,O
YE19A589UM02,9,O
DATED,9,O
29102019,9,O
CPT,10,O
ISLAMABAD,10,O
AIRPORT,10,O
PAKISTAN,10,O
TOTAL,10,O
QTY,10,O
20,10,B-NW
UNITS,10,I-NW
8SENSOR,10,O
TRIGNO,10,O
AVNTI,10,O
RESEARCH+SYSTEM.AS,10,O
PER,10,O
BENEFICIARY'S,10,O
PROFORMA,10,O
INVOICE,10,O
NO.,10,O
Q8615,10,O
DATED.,10,O
17.06.2019,10,O
CPT,11,O
LAHORE,11,O
AIRPORT,11,O
PAKISTAN,11,O
LABORATORY,11,O
EQUIPMENTS,11,O
1,11,O
QTY,11,O
1,11,B-NW
UNIT,11,I-NW
FREEZE,11,O
DRYER,11,O
ALPHA,11,O
14,11,O
LSCBASIC,11,O
230,11,O
V,11,O
50,11,O
HZ,11,O
AT,11,O
EUR,11,O
14575,11,O
AS,11,O
PER,11,O
BENEFICIARY'S,11,O
PROFORMA,11,O
INVOICE,11,O
NO.,11,O
201991619,11,O
DATED,11,O
9122019,11,O
CPT,12,O
KARACHI,12,O
AIRPORT/SEAPORT,12,O
SPARE,12,O
PARTS,12,O
FOR,12,O
INNIO,12,O
JENBACHER,12,O
POWER,12,O
GENERATION,12,O
SPECIFICATION,12,O
QUANTITYM,12,O
QUALITY,12,O
AND,12,O
OTHER,12,O
DETAILS,12,O
AS,12,O
PER,12,O
BENEFICIARY'S,12,O
PROFORMA,12,O
INVOICE,12,O
NO(S).,12,O
PFI003328,12,O
DATED,12,O
22072019,12,O
AND,12,O
PFI003301,12,O
DATED,12,O
18072019,12,O
FOB,13,O
SHENZEN,13,O
SEAPORT,13,O
CHINA,13,O
TOTAL,13,O
QTY,13,O
13644,13,B-NW
NOS,13,I-NW
SHOES,13,O
AND,13,O
LUGGAGE,13,O
AS,13,O
PER,13,O
BENEFICIARY'S,13,O
PROFORMA,13,O
INVOICE/CONTRACT,13,O
NO.,13,O
H19SW07009,13,O
DATED,13,O
20092019,13,O
CFR,14,O
KARACHI,14,O
SEAPORT,14,O
PAKISTAN,14,O
1,14,O
QTY,14,O
1,14,B-NW
SET,14,O
OF,14,O
DALGAKIRAN,14,O
EAGLE,14,O
160,14,O
VSD,14,O
(10,14,O
BAR),14,O
AIR,14,O
COOLED,14,O
SCREW,14,O
COMPRESSOR,14,O
AT,14,O
EUR,14,O
62000,14,O
PER,14,O
SET.,14,O
2,14,O
QTY,14,O
1,14,B-NW
SET,14,O
OF,14,O
DALGAKIRAN,14,O
DRYAIR,14,O
DK,14,O
170,14,O
AIR,14,O
DRYER,14,O
AT,14,O
EUR,14,O
6000,14,O
PER,14,O
SET.,14,O
AS,14,O
PER,14,O
BENEFICIARY'S,14,O
PROFORMA,14,O
INVOICE,14,O
NO.,14,O
EXP/19P517,14,O
DATED,14,O
15112019,14,O
1),15,O
QTY,15,O
22,15,B-NW
UNITS,15,I-NW
GRID,15,O
TIED,15,O
SOLAR,15,O
INVERTER,15,O
3,15,O
PHASE,15,O
4MPPT,15,O
WITH,15,O
DC,15,O
SWITCH,15,O
COMMUNICATIONRS485,15,O
GW50KNMT,15,O
AT,15,O
USD,15,O
2370,15,O
PER,15,O
UNIT.,15,O
2),15,O
QTY,15,O
4,15,B-NW
UNITS,15,I-NW
GRID,15,O
TIED,15,O
SOLAR,15,O
INVERTER,15,O
3,15,O
PHASE,15,O
2MPPT,15,O
WITH,15,O
DC,15,O
SWITCH,15,O
COMMUNICATIONRS485,15,O
FOR,15,O
EZLOGGER,15,O
PROCONNECTION,15,O
GW20KDT,15,O
AT,15,O
USD,15,O
1410,15,O
PER,15,O
UNIT.,15,O
3),15,O
QTY,15,O
3,15,B-NW
UNITS,15,I-NW
MONITORING,15,O
DEVICE,15,O
OF,15,O
GRID,15,O
TIRED,15,O
SOLAR,15,O
INVERTER,15,O
ONE,15,O
UNIT,15,O
TO,15,O
CONNECT,15,O
UP,15,O
TO,15,O
60,15,O
PCS,15,O
INVERTERS,15,O
EZLOGGER,15,O
PRO,15,O
AT,15,O
USD,15,O
108,15,O
PER,15,O
UNIT,15,O
AS,15,O
PER,15,O
BENEFICIARY'S,15,O
PROFORMA,15,O
INVOICE,15,O
NO.,15,O
GW636191013,15,O
DATED,15,O
17.12.2019,15,O
CFR,16,O
PAKISTAN,16,O
INTERNATIONAL,16,O
BULK,16,O
TERMINAL,16,O
PAKISTAN,16,O
(INCOTERMS,16,O
2010),16,O
QTY,16,O
4000,16,B-NW
MT(+/,16,I-NW
10,16,I-NW
PCT),16,I-NW
BITUMINOUS,16,O
COAL,16,O
IN,16,O
BULK,16,O
AT,16,O
THE,16,O
RATE,16,O
OF,16,O
USD,16,O
79.5,16,O
PER,16,O
MT,16,O
BASED,16,O
ON,16,O
NCV,16,O
6000,16,O
KCAL/KG,16,O
(ARB),16,O
AS,16,O
PER,16,O
BENEFICIARY'S,16,O
PROFORMA,16,O
INVOICE,16,O
NO.,16,O
PI/GCL/CPBML/18/2019,16,O
DATED,16,O
12.11.2019,16,O
CFR,17,O
KARACHI,17,O
PORT,17,O
QTY,17,O
200,17,B-NW
M/TONS,17,I-NW
METHANOL,17,O
(CHEM,17,O
GRADE),17,O
AT,17,O
THE,17,O
RATE,17,O
OF,17,O
USD,17,O
267.14,17,O
PER,17,O
M/TON,17,O
AS,17,O
PER,17,O
PROFORMA,17,O
INVOICE,17,O
NO.,17,O
CHEM/162380A/SEPTEMBER2019,17,O
DATED,17,O
23/08/2019,17,O
OF,17,O
M/S.,17,O
SABIC,17,O
PAKISTAN,17,O
PRIVATE,17,O
LIMITED.,17,O
KARACHI,17,O
PAKISTAN.,17,O
CPT,18,O
LAHORE,18,O
AIRPORT,18,O
PAKISTAN,18,O
QTY,18,O
1,18,B-NW
SET,18,O
OF,18,O
REFRIGERATED,18,O
CENTRIFUGE,18,O
MACHINE,18,O
WITH,18,O
ACCESSORIES,18,O
ROTINA,18,O
380R,18,O
AT,18,O
THE,18,O
RATE,18,O
EUR,18,O
13000,18,O
PER,18,O
PC,18,O
COMPLETE,18,O
DETAIL,18,O
AS,18,O
PER,18,O
BENEFICIARY'S,18,O
PROFORMA,18,O
INVOICE,18,O
NO.,18,O
150227,18,O
DATED,18,O
12102019,18,O
CFR,19,O
KARACHI,19,O
SEAPORT,19,O
PAKISTAN,19,O
QTY,19,O
1,19,B-NW
SET,19,O
OF,19,O
COMPLETE,19,O
CSD,19,O
105,19,O
SFC/8.5,19,O
BAR,19,O
ROTARY,19,O
SCREW,19,O
COMPRESSOR,19,O
AS,19,O
PER,19,O
BENEFICIARY'S,19,O
PROFORMA,19,O
INVOICE,19,O
NO.,19,O
95109645,19,O
DATED,19,O
15112019,19,O
CPT,20,O
LAHORE,20,O
AIRPORT,20,O
PAKISTAN,20,O
QTY,20,O
43,20,B-NW
SET,20,O
OF,20,O
LABORATORY,20,O
EQUIPMENTS,20,O
(CHEMICALS/KITS),20,O
AS,20,O
PER,20,O
BENEFICIARY'S,20,O
PROFORMA,20,O
INVOICE,20,O
NO.,20,O
HAS/SOBS/11/812644,20,O
DATED,20,O
06-Nov-19,20,O
FOB,21,O
AMBARLI,21,O
SEAPORT/ISTANBUL,21,O
AIRPORT,21,O
