,words,sentence #,tag
0,CPT,0,Incoterms
1,LAHORE,0,Incoterms
2,AIRPORT,0,Incoterms
3,PAKISTAN,0,Incoterms
4,QTY,0,O
5,<QUANTITY>,0,Quantity
6,PC,0,Quantity
7,OF,0,O
8,MULTI,0,GoodsDescription
9,MODE,0,GoodsDescription
10,READER/TRINOCULAR,0,GoodsDescription
11,MICROSCOPE,0,GoodsDescription
12,SYSTEM,0,GoodsDescription
13,MODEL,0,O
14,SERVICES,1,GoodsDescription
15,AND,1,GoodsDescription
16,MAINTENANCE,1,GoodsDescription
17,AS,1,O
18,PER,1,O
19,BENEFICIARY'S,1,O
20,PROFORMA,1,O
21,INVOICE,1,O
22,NO.,1,O
23,<INCOTERMS>,1,O
24,DATED,1,O
25,<DATE>,1,O
26,SERVICES,2,O
27,MAINTENANCE,2,O
28,AS,2,O
29,PER,2,O
30,BENEFICIARY'S,2,O
31,PROFORMA,2,O
32,INVOICE,2,O
33,NO.,2,O
34,<QUANTITY>,2,O
35,DATED,2,O
36,<DATE>,2,O
37,CPT,3,Incoterms
38,LAHORE,3,Incoterms
39,AIRPORT,3,Incoterms
40,PAKISTAN,3,Incoterms
41,PHARMACEUTICAL,3,GoodsDescription
42,ALLOPATHIC,3,GoodsDescription
43,RAW,3,GoodsDescription
44,MATERIAL,3,GoodsDescription
45,OF,3,O
46,PHARMACEUTICAL,3,GoodsDescription
47,GRADE,3,O
48,QTY,3,O
49,<QUANTITY>,3,Quantity
50,KGS,3,Quantity
51,TRAMADOL,3,GoodsDescription
52,HCL,3,O
53,BP/EP,3,O
54,AT,3,GoodsDescription
55,USD,3,UnitPriceAmount
56,<QUANTITY>,3,UnitPriceAmount
57,PER,3,UnitPriceAmount
58,KG.,3,O
59,AS,3,O
60,PER,3,UnitPriceAmount
61,BENEFICIARY'S,3,O
62,PROFORMA,3,O
63,INVOICE,3,O
64,NO.,3,O
65,SLS235/2019,3,O
66,DATED,3,O
67,<INCOTERMS>,3,O
68,CFR,4,Incoterms
69,KEAMARI,4,Incoterms
70,KARACHI,4,Incoterms
71,SEAPORT/PORT,4,Incoterms
72,QASIM,4,Incoterms
73,PAKISTAN,4,Incoterms
74,QTY,4,O
75,<UNITPRICEAMOUNT>,4,Quantity
76,MTS,4,Quantity
77,OF,4,O
78,HIPXX,4,GoodsDescription
79,E,4,UnitPriceAmount
80,<QUANTITY>,4,GoodsDescription
81,IN,4,O
82,<QUANTITY>,4,O
83,KG,4,O
84,BAG,4,O
85,AT,4,O
86,USD,4,UnitPriceAmount
87,<UNITPRICEAMOUNT>,4,UnitPriceAmount
88,PER,4,UnitPriceAmount
89,MT,4,UnitPriceAmount
90,COMPLETE,4,O
91,DETAIL,4,O
92,AS,4,Incoterms
93,PER,4,UnitPriceAmount
94,BENEFICIARY'S,4,O
95,CONTRACT,4,O
96,NO.,4,O
97,<QUANTITY>,4,O
98,DATED,4,O
99,07-09-2019.,4,O
100,CFR,5,Incoterms
101,KARACHI,5,Incoterms
102,SEAPORT,5,Incoterms
103,PAKISTAN,5,Incoterms
104,DISCOFIX,5,GoodsDescription
105,/,5,GoodsDescription
106,DOSIFIX,5,GoodsDescription
107,AS,5,O
108,PER,5,O
109,BENEFICIARY'S,5,O
110,PROFORMA,5,O
111,INVOICE,5,O
112,NO.,5,O
113,<QUANTITY>,5,O
114,DATED,5,O
115,<DATE>,5,O
116,FOB,6,Incoterms
117,FOSHAN,6,Incoterms
118,PORT,6,Incoterms
119,CHINA,6,Incoterms
120,QTY,6,O
121,<QUANTITY>,6,Quantity
122,SQM,6,Quantity
123,LATEX,6,GoodsDescription
124,FOAM,6,GoodsDescription
125,AT,6,GoodsDescription
126,USD,6,Quantity
127,<UNITPRICEAMOUNT>,6,Quantity
128,PER,6,Quantity
129,SQM,6,Quantity
130,AS,6,O
131,PER,6,Quantity
132,BENEFICIARY'S,6,O
133,PROFORMA,6,O
134,INVOICE,6,O
135,NO.,6,O
136,VT191224,6,O
137,DATED,6,O
138,<INCOTERMS>,6,O
139,CPT,7,Incoterms
140,KARACHI,7,Incoterms
