words,sentence #,tag
COPPER,0,O
CLAD,0,O
LAMINATE,0,O
AS,0,O
PER,0,O
PROFORMA,0,O
INVOICE,0,O
NK201801012,0,O
DD,0,O
1N0N2018,0,O
DELIVERY,0,O
TERMS,0,O
CFR,0,O
SOUSSE,0,O
PORT,0,O
+,1,O
BRIDGESTONE,1,O
BRAND,1,O
TIRE(S),1,O
AND,1,O
O-RING(S),1,O
+,1,O
AS,1,O
PER,1,O
SALES,1,O
CONTRACT,1,O
NO8ACA021X+,1,O
AS,1,O
PER,1,O
SALES,1,O
CONTRACT,1,O
DATED,1,O
22,1,O
Dec-17,1,O
NO8ACA021X+,1,O
CIF,1,O
XINGANGCHINA,1,O
(INCOTERMS-201,1,O
+,2,O
BRIDGESTONE,2,O
BRAND,2,O
TIRE(S),2,O
AND,2,O
O-RING(S),2,O
+,2,O
AS,2,O
PER,2,O
SALES,2,O
CONTRACT,2,O
NO8ACA021XDATED,2,O
22,2,O
Dec-17,2,O
+,2,O
CIF,2,O
XINGANGCHINA,2,O
(INCOTERMS-201,2,O
+,3,O
BRIDGESTONE,3,O
BRAND,3,O
TIRE(S),3,O
AND,3,O
O-RING(S).,3,O
+,3,O
AS,3,O
PER,3,O
SALES,3,O
CONTRACT,3,O
NO8ACA021XDATED,3,O
22,3,O
Dec-17,3,O
+,3,O
CIF,3,O
XINGANGCHINA,3,O
(INCOTERMS-201,3,O
LEATHER,4,O
MEN'S,4,O
AND/OR,4,O
LEATHER,4,O
LADIES',4,O
GARMENTS,4,O
UNDER,4,O
SUPPLY,4,O
CONTRACT,4,O
NO126223/2009,4,O
DO04,4,O
JUNE,4,O
200O,4,O
FCA,4,O
KARACHIPAKISTAN,4,O
AND/OR,4,O
FOB,4,O
KARACHIPAKISTAN,4,O
(INCOTERMS,4,O
201,4,O
LEATHER,5,O
MEN'S,5,O
AND/OR,5,O
LEATHER,5,O
LADIES',5,O
GARMENTS,5,O
UNDER,5,O
SUPPLY,5,O
CONTRACT,5,O
NO126223/2009,5,O
DO04,5,O
JUNE,5,O
200O,5,O
FCA,5,O
KARACHIPAKISTAN,5,O
AND/OR,5,O
FOB,5,O
KARACHIPAKISTAN,5,O
(INCOTERMS,5,O
201,5,O
QUANTITY,6,O
90000,6,O
M(+/-10,6,O
O/O),6,O
DESCRIPTION,6,O
POLIESTER,6,O
SATIN,6,O
FABRIC,6,O
CODE,6,O
42250,6,O
GREY,6,O
A7,6,O
GRADE,6,O
PO,6,O
N07929/10,6,O
CIF,6,O
INCOTERMS,6,O
2010,6,O
QUANTITY,7,O
90000,7,O
M(+/-10,7,O
O/O),7,O
DESCRIPTION,7,O
POLIESTER,7,O
SATIN,7,O
FABRIC,7,O
CODE,7,O
42250,7,O
GREY,7,O
A7,7,O
GRADE,7,O
PO,7,O
N07929/10,7,O
CIF,7,O
INCOTERMS,7,O
2010,7,O
TOYS,8,O
AS,8,O
PER,8,O
PROFORMA,8,O
INVOICE,8,O
NO,8,O
TSO1801008,8,O
ACCORDING,8,O
TO,8,O
CONTRACT,8,O
2007/KT/20O,8,O
TOYS,9,O
AS,9,O
PER,9,O
PROFORMA,9,O
INVOICE,9,O
NO,9,O
TSO1801008,9,O
ACCORDING,9,O
TO,9,O
CONTRACT,9,O
2007/KT/20O,9,O
COPPER,10,O
CLAD,10,O
LAMINATE,10,O
AS,10,O
PER,10,O
PROFORMA,10,O
INVOICE,10,O
NK201801012,10,O
DD,10,O
1N0N2018,10,O
DELIVERY,10,O
TERMS,10,O
CFR,10,O
SOUSSE,10,O
PORT,10,O
MULTIPURPOSE,11,O
CLOTH,11,O
38X38CM,11,O
392860,11,O
PINK,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
392880,11,O
YELLOW,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
392890,11,O
GREEN,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
FREIGHT,11,O
COST,11,O
CHARGE,11,O
1X40HC,11,O
EX,11,O
WORKS,11,O
PRICE,11,O
EUR15800,11,O
TOTAL,11,O
AMOUNT,11,O
EUR269850,11,O
ORIGIN,11,O
