,id,words,sentence #,tag
0,0,CPT,0,Incoterms
1,1,LAHORE,0,Incoterms
2,2,AIRPORT,0,Incoterms
3,3,PAKISTAN,0,Incoterms
4,4,QTY,0,O
5,5,[QUANTITY],0,Quantity
6,6,PC,0,Quantity
7,7,OF,0,O
8,8,MULTI,0,GoodsDescription
9,9,MODE,0,GoodsDescription
10,10,READER/TRINOCULAR,0,GoodsDescription
11,11,MICROSCOPE,0,GoodsDescription
12,12,SYSTEM,0,GoodsDescription
13,13,MODEL,0,O
14,14,SERVICES,1,GoodsDescription
15,15,AND,1,GoodsDescription
16,16,MAINTENANCE,1,GoodsDescription
17,17,AS,1,O
18,18,PER,1,O
19,19,BENEFICIARY'S,1,O
20,20,PROFORMA,1,O
21,21,INVOICE,1,O
22,22,NO.,1,O
23,23,[INCOTERMS],1,O
24,24,DATED,1,O
25,25,[DATE],1,O
26,26,SERVICES,2,O
27,27,MAINTENANCE,2,O
28,28,AS,2,O
29,29,PER,2,O
30,30,BENEFICIARY'S,2,O
31,31,PROFORMA,2,O
32,32,INVOICE,2,O
33,33,NO.,2,O
34,34,[QUANTITY],2,O
35,35,DATED,2,O
36,36,[DATE],2,O
37,37,CPT,3,Incoterms
38,38,LAHORE,3,Incoterms
39,39,AIRPORT,3,Incoterms
40,40,PAKISTAN,3,Incoterms
41,41,PHARMACEUTICAL,3,GoodsDescription
42,42,ALLOPATHIC,3,GoodsDescription
43,43,RAW,3,GoodsDescription
44,44,MATERIAL,3,GoodsDescription
45,45,OF,3,O
46,46,PHARMACEUTICAL,3,GoodsDescription
47,47,GRADE,3,O
48,48,QTY,3,O
49,49,[QUANTITY],3,Quantity
50,50,KGS,3,Quantity
51,51,TRAMADOL,3,GoodsDescription
52,52,HCL,3,O
53,53,BP/EP,3,O
54,54,AT,3,GoodsDescription
55,55,USD,3,UnitPriceAmount
56,56,[QUANTITY],3,UnitPriceAmount
57,57,PER,3,UnitPriceAmount
58,58,KG.,3,O
59,59,AS,3,O
60,60,PER,3,UnitPriceAmount
61,61,BENEFICIARY'S,3,O
62,62,PROFORMA,3,O
63,63,INVOICE,3,O
64,64,NO.,3,O
65,65,SLS235/2019,3,O
66,66,DATED,3,O
67,67,[INCOTERMS],3,O
68,68,CFR,4,Incoterms
69,69,KEAMARI,4,Incoterms
70,70,KARACHI,4,Incoterms
71,71,SEAPORT/PORT,4,Incoterms
72,72,QASIM,4,Incoterms
73,73,PAKISTAN,4,Incoterms
74,74,QTY,4,O
75,75,[UNITPRICEAMOUNT],4,Quantity
76,76,MTS,4,Quantity
77,77,OF,4,O
78,78,HIPXX,4,GoodsDescription
79,79,E,4,UnitPriceAmount
80,80,[QUANTITY],4,GoodsDescription
81,81,IN,4,O
82,82,[QUANTITY],4,O
83,83,KG,4,O
84,84,BAG,4,O
85,85,AT,4,O
86,86,USD,4,UnitPriceAmount
87,87,[UNITPRICEAMOUNT],4,UnitPriceAmount
88,88,PER,4,UnitPriceAmount
89,89,MT,4,UnitPriceAmount
90,90,COMPLETE,4,O
91,91,DETAIL,4,O
92,92,AS,4,Incoterms
93,93,PER,4,UnitPriceAmount
94,94,BENEFICIARY'S,4,O
95,95,CONTRACT,4,O
96,96,NO.,4,O
97,97,[QUANTITY],4,O
98,98,DATED,4,O
99,99,07-09-2019.,4,O
100,100,CFR,5,Incoterms
101,101,KARACHI,5,Incoterms
102,102,SEAPORT,5,Incoterms
103,103,PAKISTAN,5,Incoterms
104,104,DISCOFIX,5,GoodsDescription
105,105,/,5,GoodsDescription
106,106,DOSIFIX,5,GoodsDescription
107,107,AS,5,O
108,108,PER,5,O
109,109,BENEFICIARY'S,5,O
110,110,PROFORMA,5,O
111,111,INVOICE,5,O
112,112,NO.,5,O
113,113,[QUANTITY],5,O
114,114,DATED,5,O
115,115,[DATE],5,O
116,116,FOB,6,Incoterms
117,117,FOSHAN,6,Incoterms
118,118,PORT,6,Incoterms
119,119,CHINA,6,Incoterms
120,120,QTY,6,O
121,121,[QUANTITY],6,Quantity
122,122,SQM,6,Quantity
123,123,LATEX,6,GoodsDescription
124,124,FOAM,6,GoodsDescription
125,125,AT,6,GoodsDescription
126,126,USD,6,Quantity
127,127,[UNITPRICEAMOUNT],6,Quantity
128,128,PER,6,Quantity
129,129,SQM,6,Quantity
130,130,AS,6,O
131,131,PER,6,Quantity
132,132,BENEFICIARY'S,6,O
133,133,PROFORMA,6,O
134,134,INVOICE,6,O
135,135,NO.,6,O
136,136,VT191224,6,O
